                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8938,                  4.999,                 4.1419,                0.00072,                0.16058,                 0.0028,                0.00088,                 4.3575,                 4.8079,                 4.0877,             0.00033077,             0.00033077,             0.00033077
                      2,                 3.6081,                 4.6892,                  3.754,                0.50287,                0.05519,                0.00303,                0.00068,                 3.6298,                 6.3854,                 3.4267,             0.00066191,             0.00066191,             0.00066191
                      3,                 3.1877,                 4.4105,                 3.2847,                0.67336,                0.01454,                0.00561,                0.00137,                 3.2263,                 5.0046,                 3.0668,             0.00099085,             0.00099085,             0.00099085
                      4,                 2.9747,                 4.1299,                 3.0659,                 0.3821,                0.03354,                0.01775,                0.00451,                  3.129,                 3.9351,                 2.9501,              0.0009901,              0.0009901,              0.0009901
                      5,                 2.8364,                 3.8918,                 2.8952,                0.37537,                0.08902,                0.02756,                 0.0083,                 2.9782,                 4.3621,                 2.8262,              0.0009901,              0.0009901,              0.0009901
                      6,                 2.7128,                 3.7096,                 2.8182,                0.56133,                0.07606,                 0.0351,                0.01113,                 2.8902,                 3.7419,                 2.7316,              0.0009868,              0.0009868,              0.0009868
                      7,                 2.6503,                 3.6076,                 2.7202,                 0.4039,                0.04879,                0.02749,                0.00928,                 2.9686,                 3.9659,                 2.8514,              0.0009835,              0.0009835,              0.0009835
                      8,                 2.5875,                 3.4808,                 2.6354,                0.58565,                 0.0773,                 0.0644,                0.02086,                 2.7662,                 3.6381,                 2.6035,              0.0009802,              0.0009802,              0.0009802
                      9,                 2.5348,                 3.3547,                 2.5936,                0.12442,                0.13255,                0.06437,                 0.0216,                 2.7089,                 3.3912,                 2.5663,              0.0009769,              0.0009769,              0.0009769
                     10,                 2.5152,                 3.2897,                 2.5323,                0.13628,                0.17623,                0.07387,                0.02473,                 2.6616,                 3.3681,                 2.5634,              0.0009736,              0.0009736,              0.0009736
                     11,                 2.4155,                 3.1478,                 2.4807,                0.17512,                0.17633,                0.09016,                0.02723,                 2.6304,                 3.5935,                 2.5165,              0.0009703,              0.0009703,              0.0009703
                     12,                 2.4073,                 3.0675,                 2.4565,                 0.1655,                0.18074,                0.09037,                0.03056,                 2.6009,                 3.0383,                 2.4663,               0.000967,               0.000967,               0.000967
                     13,                 2.3684,                  3.022,                 2.4012,                0.18322,                0.19382,                0.11744,                0.04181,                 2.4946,                 3.0151,                 2.3933,              0.0009637,              0.0009637,              0.0009637
                     14,                 2.3142,                 2.9082,                 2.3573,                0.18887,                0.22795,                0.12196,                0.04384,                  2.523,                 2.9724,                  2.417,              0.0009604,              0.0009604,              0.0009604
                     15,                 2.2777,                 2.8986,                  2.336,                0.17449,                 0.2444,                0.14033,                0.04766,                 2.4745,                  2.967,                 2.3538,              0.0009571,              0.0009571,              0.0009571
                     16,                 2.2322,                 2.8306,                 2.2931,                0.26885,                0.20897,                 0.1496,                0.05153,                 2.4405,                 2.8388,                 2.3255,              0.0009538,              0.0009538,              0.0009538
                     17,                 2.2394,                 2.7995,                 2.2714,                0.28828,                0.20088,                0.15038,                0.05669,                 2.4957,                 3.0164,                 2.3802,              0.0009505,              0.0009505,              0.0009505
                     18,                 2.1998,                 2.7235,                  2.242,                0.22053,                0.22761,                0.16819,                0.06149,                 2.3757,                 2.8027,                 2.2439,              0.0009472,              0.0009472,              0.0009472
                     19,                 2.1876,                 2.6638,                 2.2164,                0.25157,                0.24856,                0.16501,                0.06316,                 2.3383,                 2.7735,                 2.2171,              0.0009439,              0.0009439,              0.0009439
                     20,                 2.1558,                 2.6694,                 2.1967,                0.42329,                0.22582,                0.20252,                0.07551,                 2.3217,                 2.6547,                 2.1879,              0.0009406,              0.0009406,              0.0009406
                     21,                 2.1309,                 2.6011,                 2.1577,                0.30733,                0.28276,                0.22267,                 0.0899,                 2.2977,                 2.6996,                  2.205,              0.0009373,              0.0009373,              0.0009373
                     22,                 2.1009,                 2.5642,                 2.1371,                0.27386,                 0.2912,                0.21578,                0.08692,                  2.287,                 2.6962,                 2.1809,               0.000934,               0.000934,               0.000934
                     23,                 2.1022,                 2.5603,                 2.1346,                0.28187,                0.29156,                0.23501,                 0.0899,                  2.266,                  2.528,                 2.1418,              0.0009307,              0.0009307,              0.0009307
                     24,                 2.0806,                 2.5147,                 2.1014,                0.32494,                0.28872,                0.24455,                0.10162,                 2.2563,                 2.5117,                 2.1345,              0.0009274,              0.0009274,              0.0009274
                     25,                 2.0511,                 2.4912,                 2.0982,                0.32464,                0.31417,                0.25962,                 0.1104,                 2.2287,                 2.4451,                 2.1131,              0.0009241,              0.0009241,              0.0009241
                     26,                 2.0336,                 2.4554,                   2.08,                0.37685,                 0.2736,                0.26187,                0.10392,                 2.2581,                 2.5814,                 2.1545,              0.0009208,              0.0009208,              0.0009208
                     27,                 2.0452,                 2.4688,                 2.0866,                0.29998,                0.35284,                0.26124,                0.11115,                 2.1679,                 2.4886,                 2.0786,              0.0009175,              0.0009175,              0.0009175
                     28,                 2.0175,                 2.4052,                 2.0689,                0.33136,                0.33836,                0.29863,                0.12598,                  2.157,                 2.4195,                 2.0578,              0.0009142,              0.0009142,              0.0009142
                     29,                 2.0137,                 2.4214,                 2.0646,                0.37957,                0.30918,                0.27681,                0.12117,                 2.1838,                 2.4682,                 2.1088,              0.0009109,              0.0009109,              0.0009109
                     30,                 2.0071,                 2.3986,                 2.0339,                0.36703,                0.33307,                0.29194,                0.12459,                 2.1516,                 2.5748,                  2.053,              0.0009076,              0.0009076,              0.0009076
                     31,                 1.9865,                 2.3545,                 2.0149,                0.32423,                0.33695,                0.29836,                 0.1312,                 2.1345,                 2.3496,                 2.0417,              0.0009043,              0.0009043,              0.0009043
                     32,                 1.9989,                 2.3706,                 2.0247,                0.30011,                0.34506,                0.27161,                0.11207,                 2.1701,                 2.5134,                  2.063,               0.000901,               0.000901,               0.000901
                     33,                 1.9756,                 2.3452,                 2.0208,                0.32464,                0.32596,                0.29675,                0.13054,                 2.1772,                 2.3692,                 2.0649,              0.0008977,              0.0008977,              0.0008977
                     34,                 1.9988,                 2.3401,                 2.0333,                0.37646,                0.36772,                0.32104,                0.14089,                 2.1188,                 2.3166,                 2.0131,              0.0008944,              0.0008944,              0.0008944
                     35,                 1.9387,                 2.3144,                 1.9945,                0.31786,                0.35286,                0.29593,                0.12878,                 2.1503,                 2.3955,                 2.0452,              0.0008911,              0.0008911,              0.0008911
                     36,                  1.965,                 2.3041,                 1.9916,                0.40111,                0.33431,                0.32575,                0.14812,                 2.1503,                 2.2907,                 2.0285,              0.0008878,              0.0008878,              0.0008878
                     37,                 1.9443,                 2.2548,                 1.9836,                0.37632,                0.38164,                0.33004,                0.14513,                 2.1119,                 2.2832,                 2.0307,              0.0008845,              0.0008845,              0.0008845
                     38,                 1.9312,                 2.2634,                 1.9617,                0.40107,                0.36679,                0.32807,                0.15089,                  2.122,                 2.3044,                 1.9847,              0.0008812,              0.0008812,              0.0008812
                     39,                 1.9534,                 2.2537,                 1.9608,                0.32572,                0.34185,                0.30195,                0.13518,                 2.1868,                 2.4412,                 2.0667,              0.0008779,              0.0008779,              0.0008779
                     40,                 1.9222,                 2.2168,                 1.9443,                0.38832,                0.38411,                 0.3573,                0.16193,                 2.1046,                 2.2244,                 1.9933,              0.0008746,              0.0008746,              0.0008746
                     41,                 1.9054,                   2.19,                 1.9419,                0.40791,                0.40184,                0.36427,                0.16514,                 2.0945,                 2.1932,                 1.9626,              0.0008713,              0.0008713,              0.0008713
                     42,                 1.9137,                 2.2336,                 1.9482,                0.40385,                 0.3691,                0.35086,                0.15742,                 2.0888,                 2.2208,                 1.9855,               0.000868,               0.000868,               0.000868
                     43,                 1.9035,                 2.2051,                 1.9352,                0.44529,                0.37097,                0.37241,                0.17216,                 2.0594,                 2.1565,                 1.9557,              0.0008647,              0.0008647,              0.0008647
                     44,                 1.9091,                 2.2132,                 1.9393,                  0.418,                0.39273,                0.37802,                0.17331,                 2.0606,                 2.1463,                 1.9702,              0.0008614,              0.0008614,              0.0008614
                     45,                 1.8942,                 2.1586,                 1.9217,                0.43283,                0.38157,                0.37366,                0.17454,                 2.0694,                 2.0974,                 1.9543,              0.0008581,              0.0008581,              0.0008581
                     46,                 1.8982,                 2.1631,                 1.9391,                0.41388,                0.38435,                0.36883,                0.16255,                 2.0526,                 2.2042,                  1.949,              0.0008548,              0.0008548,              0.0008548
                     47,                 1.8966,                 2.1408,                 1.9138,                0.48069,                0.38828,                0.39741,                0.18009,                  2.042,                  2.134,                 1.9562,              0.0008515,              0.0008515,              0.0008515
                     48,                 1.8988,                 2.1542,                 1.9129,                0.39265,                0.40202,                0.37932,                0.17443,                 2.0537,                 2.1956,                 1.9407,              0.0008482,              0.0008482,              0.0008482
                     49,                 1.8608,                 2.1264,                 1.8959,                0.44252,                0.41034,                0.38685,                0.17927,                 2.0342,                 2.0723,                 1.9231,              0.0008449,              0.0008449,              0.0008449
                     50,                  1.873,                 2.1536,                 1.8981,                0.46182,                0.39386,                0.39183,                0.18885,                 2.0044,                 2.0733,                 1.9228,              0.0008416,              0.0008416,              0.0008416
                     51,                 1.8588,                 2.1169,                 1.8887,                0.53196,                 0.3887,                0.41106,                0.19259,                 2.0097,                 2.0848,                 1.9131,              0.0008383,              0.0008383,              0.0008383
                     52,                 1.8661,                  2.117,                 1.8879,                0.46095,                0.44056,                 0.4181,                0.19841,                 1.9824,                 2.0528,                 1.8958,               0.000835,               0.000835,               0.000835
                     53,                 1.8628,                   2.11,                 1.8854,                0.47068,                0.40998,                0.40932,                0.19006,                 2.0187,                 2.1312,                 1.9362,              0.0008317,              0.0008317,              0.0008317
                     54,                 1.8301,                 2.0618,                 1.8679,                0.43821,                0.41407,                0.38711,                0.17861,                 2.0239,                 2.0972,                 1.9179,              0.0008284,              0.0008284,              0.0008284
                     55,                 1.8499,                 2.0871,                 1.8654,                 0.4531,                0.42467,                0.42918,                0.20145,                 1.9886,                 2.0162,                 1.8941,              0.0008251,              0.0008251,              0.0008251
                     56,                 1.8501,                 2.1189,                 1.8782,                0.46233,                0.43415,                0.42103,                0.19739,                 1.9778,                 2.0847,                 1.8874,              0.0008218,              0.0008218,              0.0008218
                     57,                 1.8348,                  2.038,                 1.8522,                0.45624,                 0.4342,                0.42312,                0.19502,                 2.0098,                 2.0361,                  1.917,              0.0008185,              0.0008185,              0.0008185
                     58,                 1.8292,                 2.0344,                 1.8454,                0.46836,                0.44046,                 0.4381,                0.20518,                 1.9836,                   2.07,                 1.8722,              0.0008152,              0.0008152,              0.0008152
                     59,                 1.8346,                 2.0481,                 1.8471,                0.52692,                0.39743,                0.42126,                0.20283,                 1.9749,                 2.0242,                 1.8838,              0.0008119,              0.0008119,              0.0008119
                     60,                 1.8233,                 2.0394,                 1.8317,                0.42906,                0.44016,                0.43149,                0.21051,                 1.9468,                  1.991,                 1.8583,              0.0008086,              0.0008086,              0.0008086
                     61,                 1.7807,                 2.0165,                 1.8292,                0.45694,                0.42534,                0.43355,                0.20402,                 1.9615,                 2.0217,                 1.8678,              0.0008053,              0.0008053,              0.0008053
                     62,                  1.818,                 2.0275,                 1.8367,                0.45303,                0.42884,                0.42092,                0.20485,                 1.9588,                 1.9909,                 1.8803,               0.000802,               0.000802,               0.000802
                     63,                  1.793,                 1.9885,                 1.8416,                0.42253,                 0.4423,                0.43459,                0.21058,                 1.9426,                 2.0726,                 1.8637,              0.0007987,              0.0007987,              0.0007987
                     64,                 1.8225,                 2.0036,                 1.8272,                0.52889,                0.38447,                0.42592,                0.20567,                 1.9619,                 2.0743,                 1.8768,              0.0007954,              0.0007954,              0.0007954
                     65,                 1.8166,                 1.9691,                 1.8319,                0.43851,                 0.4604,                0.43687,                0.20834,                 1.9153,                  1.986,                 1.8548,              0.0007921,              0.0007921,              0.0007921
                     66,                  1.783,                  1.971,                 1.8202,                0.48754,                0.44211,                0.44881,                0.21686,                 1.9672,                 1.9669,                 1.8843,              0.0007888,              0.0007888,              0.0007888
                     67,                 1.7997,                 1.9855,                 1.8249,                0.48681,                0.42373,                0.42531,                0.20633,                  1.976,                 2.0173,                 1.8954,              0.0007855,              0.0007855,              0.0007855
                     68,                 1.7969,                 1.9878,                 1.8158,                0.46407,                0.46436,                0.45086,                0.22438,                 1.9447,                 1.9436,                 1.8599,              0.0007822,              0.0007822,              0.0007822
                     69,                 1.7836,                 1.9532,                 1.8035,                0.51897,                0.44823,                0.44641,                0.22679,                 1.8966,                 1.9058,                 1.8445,              0.0007789,              0.0007789,              0.0007789
                     70,                 1.7762,                 1.9325,                 1.7977,                0.47898,                0.46241,                0.46473,                0.22765,                 1.9648,                 1.9433,                 1.8762,              0.0007756,              0.0007756,              0.0007756
                     71,                 1.7833,                 1.9454,                  1.816,                0.48785,                0.43672,                0.44422,                0.22176,                  1.927,                 1.9842,                 1.8532,              0.0007723,              0.0007723,              0.0007723
                     72,                 1.7909,                 1.9248,                 1.7853,                0.50165,                0.46116,                0.47599,                0.23875,                  1.882,                 1.8798,                 1.8189,               0.000769,               0.000769,               0.000769
                     73,                  1.752,                 1.9063,                 1.7804,                 0.5228,                0.46702,                0.46058,                0.22789,                 1.9086,                 1.8807,                 1.8364,              0.0007657,              0.0007657,              0.0007657
                     74,                 1.7769,                 1.9531,                 1.7941,                0.46324,                0.48843,                0.44919,                 0.2229,                 1.8817,                 1.9462,                 1.8319,              0.0007624,              0.0007624,              0.0007624
                     75,                 1.7732,                 1.8978,                 1.7882,                0.48196,                 0.4581,                0.45833,                0.22756,                 1.8981,                 1.9709,                 1.8577,              0.0007591,              0.0007591,              0.0007591
                     76,                  1.774,                   1.94,                 1.7986,                0.52386,                0.47922,                0.47561,                0.23658,                 1.9188,                 1.8632,                 1.8546,              0.0007558,              0.0007558,              0.0007558
                     77,                 1.7604,                 1.9278,                 1.7927,                0.51107,                0.46675,                0.46175,                0.23191,                 1.8737,                 1.8814,                 1.8247,              0.0007525,              0.0007525,              0.0007525
                     78,                 1.7585,                 1.9021,                 1.7747,                0.50592,                0.47564,                0.47064,                0.23253,                 1.9076,                 1.9007,                  1.849,              0.0007492,              0.0007492,              0.0007492
                     79,                 1.7382,                 1.8669,                  1.769,                0.52024,                0.46261,                0.47063,                0.24025,                 1.8959,                 1.8493,                 1.8359,              0.0007459,              0.0007459,              0.0007459
                     80,                 1.7329,                 1.8913,                 1.7695,                0.51976,                0.50721,                0.49456,                 0.2491,                 1.8663,                 1.8501,                 1.8238,              0.0007426,              0.0007426,              0.0007426
                     81,                 1.7402,                 1.8718,                 1.7494,                0.50086,                0.47864,                0.48589,                0.24259,                 1.8671,                  1.862,                 1.8171,              0.0007393,              0.0007393,              0.0007393
                     82,                 1.7597,                 1.9225,                 1.7772,                0.48228,                0.49208,                0.48509,                0.23951,                 1.8749,                 1.8877,                 1.8282,               0.000736,               0.000736,               0.000736
                     83,                 1.7335,                 1.8581,                 1.7571,                0.50952,                0.50048,                 0.4925,                0.24961,                 1.8691,                 1.8246,                 1.8133,              0.0007327,              0.0007327,              0.0007327
                     84,                 1.7174,                 1.8599,                 1.7548,                0.50804,                0.46498,                0.48179,                0.24607,                 1.8686,                 1.8216,                 1.8083,              0.0007294,              0.0007294,              0.0007294
                     85,                 1.7485,                 1.8446,                  1.759,                0.52863,                0.47632,                0.49178,                0.24537,                 1.8869,                 1.8773,                 1.8376,              0.0007261,              0.0007261,              0.0007261
                     86,                 1.7244,                 1.8565,                 1.7653,                0.49994,                0.47425,                0.48262,                0.23928,                 1.8795,                 1.8276,                 1.8424,              0.0007228,              0.0007228,              0.0007228
                     87,                 1.7076,                 1.8561,                 1.7488,                0.51085,                0.46831,                 0.4788,                0.24403,                 1.8637,                 1.8492,                 1.8218,              0.0007195,              0.0007195,              0.0007195
                     88,                 1.7207,                 1.8535,                 1.7508,                0.52612,                0.49581,                0.50052,                0.25345,                 1.8406,                 1.8672,                 1.8024,              0.0007162,              0.0007162,              0.0007162
                     89,                 1.6939,                 1.8351,                  1.725,                0.53667,                0.50628,                0.51321,                0.25284,                 1.8486,                 1.8278,                  1.811,              0.0007129,              0.0007129,              0.0007129
                     90,                  1.736,                 1.8579,                 1.7475,                0.55821,                0.49155,                 0.5121,                0.25515,                 1.8708,                 1.7892,                 1.8167,              0.0007096,              0.0007096,              0.0007096
                     91,                 1.7071,                 1.7937,                 1.7398,                0.52492,                 0.5164,                0.51994,                0.26114,                 1.8591,                 1.7361,                 1.8067,              0.0007063,              0.0007063,              0.0007063
                     92,                 1.7219,                 1.8166,                 1.7342,                 0.4968,                0.49682,                0.52042,                0.26461,                 1.8298,                 1.7801,                 1.7967,               0.000703,               0.000703,               0.000703
                     93,                 1.7148,                 1.8118,                 1.7236,                0.55878,                0.50045,                0.51982,                0.26221,                 1.8474,                 1.7714,                 1.8142,              0.0006997,              0.0006997,              0.0006997
                     94,                 1.7161,                 1.8149,                  1.738,                0.52365,                0.49001,                0.50917,                0.26184,                 1.8494,                 1.7655,                 1.8085,              0.0006964,              0.0006964,              0.0006964
                     95,                 1.6957,                 1.8132,                 1.7162,                0.59395,                0.48713,                0.54113,                0.27238,                 1.8497,                 1.7672,                 1.7977,              0.0006931,              0.0006931,              0.0006931
                     96,                 1.6972,                 1.7831,                 1.7099,                0.53991,                0.50477,                0.52418,                0.26783,                 1.8332,                 1.7625,                 1.7774,              0.0006898,              0.0006898,              0.0006898
                     97,                 1.6898,                 1.7747,                 1.7165,                0.57165,                0.49644,                0.53141,                0.27124,                  1.819,                 1.7372,                 1.7784,              0.0006865,              0.0006865,              0.0006865
                     98,                 1.6796,                 1.7659,                 1.7249,                0.56152,                0.49122,                0.52671,                0.27117,                 1.8422,                 1.7351,                 1.8076,              0.0006832,              0.0006832,              0.0006832
                     99,                 1.6971,                 1.7813,                 1.7123,                0.55651,                0.50324,                0.53179,                0.27331,                 1.8268,                 1.7315,                 1.7814,              0.0006799,              0.0006799,              0.0006799
                    100,                 1.6654,                 1.7517,                 1.6907,                0.52477,                0.52819,                 0.5297,                  0.269,                 1.8524,                 1.7721,                 1.8018,              0.0006766,              0.0006766,              0.0006766
                    101,                 1.6799,                 1.7494,                 1.7147,                0.53556,                0.51391,                0.51625,                0.26435,                 1.8261,                 1.7297,                 1.7868,              0.0006733,              0.0006733,              0.0006733
                    102,                 1.6827,                 1.7536,                 1.7135,                0.56337,                0.51136,                0.52477,                0.27207,                  1.836,                 1.7178,                 1.7871,                0.00067,                0.00067,                0.00067
                    103,                 1.6608,                  1.756,                  1.705,                 0.5551,                0.51645,                0.53353,                0.27383,                 1.8237,                 1.7355,                 1.7714,              0.0006667,              0.0006667,              0.0006667
                    104,                 1.6884,                 1.7504,                 1.6913,                0.61457,                0.47739,                0.53932,                0.27948,                 1.8263,                 1.7366,                 1.7698,              0.0006634,              0.0006634,              0.0006634
                    105,                 1.6502,                 1.7461,                 1.6941,                0.54617,                0.51135,                0.52931,                0.27563,                 1.8369,                 1.7387,                 1.7757,              0.0006601,              0.0006601,              0.0006601
                    106,                 1.6671,                 1.7577,                 1.6959,                0.58557,                 0.5013,                0.54919,                0.28215,                  1.831,                 1.6965,                 1.7795,              0.0006568,              0.0006568,              0.0006568
                    107,                 1.6642,                 1.7343,                 1.6837,                0.57499,                0.50601,                0.53865,                0.28145,                 1.8183,                  1.727,                 1.7639,              0.0006535,              0.0006535,              0.0006535
                    108,                 1.6575,                 1.7194,                  1.697,                0.56071,                0.52903,                0.54744,                0.29019,                 1.7954,                 1.7335,                 1.7651,              0.0006502,              0.0006502,              0.0006502
                    109,                 1.6702,                 1.7198,                 1.6796,                0.58518,                0.51708,                0.55794,                0.28658,                 1.7995,                 1.6936,                 1.7639,              0.0006469,              0.0006469,              0.0006469
                    110,                   1.65,                 1.7132,                 1.6807,                0.57838,                0.51025,                0.53601,                0.27934,                  1.822,                 1.6996,                 1.7853,              0.0006436,              0.0006436,              0.0006436
                    111,                 1.6664,                 1.6905,                 1.6754,                0.58734,                0.53168,                0.55387,                0.28811,                 1.8194,                 1.6802,                 1.7676,              0.0006403,              0.0006403,              0.0006403
                    112,                 1.6405,                 1.6928,                  1.678,                0.58648,                0.52611,                0.55922,                0.28243,                 1.8259,                 1.6834,                 1.7712,               0.000637,               0.000637,               0.000637
                    113,                 1.6443,                 1.6926,                 1.6834,                0.59812,                0.49893,                 0.5531,                0.28745,                 1.8109,                 1.6797,                 1.7547,              0.0006337,              0.0006337,              0.0006337
                    114,                 1.6511,                 1.6833,                 1.6791,                0.59485,                 0.5188,                0.55869,                0.29301,                 1.8048,                 1.6857,                 1.7579,              0.0006304,              0.0006304,              0.0006304
                    115,                 1.6294,                 1.6797,                 1.6684,                0.56317,                0.52603,                0.55095,                 0.2908,                 1.8003,                 1.6888,                 1.7613,              0.0006271,              0.0006271,              0.0006271
                    116,                 1.6529,                 1.7048,                  1.665,                0.57099,                 0.5266,                0.55501,                 0.2845,                  1.818,                 1.6897,                 1.7553,              0.0006238,              0.0006238,              0.0006238
                    117,                 1.6586,                 1.6765,                 1.6699,                0.57191,                0.55082,                0.56293,                0.29866,                 1.8043,                 1.6596,                 1.7532,              0.0006205,              0.0006205,              0.0006205
                    118,                 1.6302,                 1.6965,                  1.663,                0.57724,                0.52755,                0.56281,                 0.3003,                 1.7719,                  1.679,                 1.7278,              0.0006172,              0.0006172,              0.0006172
                    119,                 1.6418,                 1.6713,                 1.6552,                0.59759,                0.52271,                0.55892,                0.29118,                 1.7974,                  1.696,                 1.7585,              0.0006139,              0.0006139,              0.0006139
                    120,                 1.6148,                 1.6554,                 1.6461,                0.59929,                0.51677,                0.56475,                0.29372,                 1.8067,                 1.6547,                 1.7686,              0.0006106,              0.0006106,              0.0006106
                    121,                 1.6381,                 1.6755,                 1.6617,                 0.5858,                0.53695,                0.56376,                 0.2995,                 1.7785,                  1.669,                 1.7277,              0.0006073,              0.0006073,              0.0006073
                    122,                 1.6391,                 1.6607,                 1.6479,                0.56765,                0.52798,                0.55928,                0.29654,                 1.7865,                 1.6742,                 1.7451,               0.000604,               0.000604,               0.000604
                    123,                 1.6285,                 1.6643,                 1.6392,                0.55355,                0.53971,                0.56837,                0.29815,                 1.7843,                 1.6478,                  1.738,              0.0006007,              0.0006007,              0.0006007
